,,,,,,Flood - R25,,,,Flood - R250,,,,Flood - RC25,,,,Flood - RC250,,,,Tsunami,,,,Earthquake,,,,
fid,Village ID,Village,District,Regency/City,Province,No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Damage (%),Slight (%),Moderate (%),Extensive (%),Collapse (%)
405,51.07.03.2011,Pesedahan,Manggis,Karangasem,Bali,68.87,11.61,8.83,10.69,64.69,11.61,9.06,14.63,68.29,11.38,8.48,11.85,63.30,11.61,9.87,15.21,100.00,0.00,0.00,0.00,99.60,0.35,0.02,0.02,0.01
406,51.08.01.2010,Patas,Gerokgak,Buleleng,Bali,89.97,3.75,1.96,4.31,87.82,4.54,2.56,5.09,88.89,4.17,2.23,4.71,87.16,4.76,2.71,5.38,96.24,3.76,0.00,0.00,99.73,0.25,0.01,0.01,0.00
407,51.08.02.2014,Patemon,Seririt,Buleleng,Bali,75.89,8.59,5.21,10.31,71.03,8.91,6.86,13.20,73.28,9.12,5.70,11.90,67.19,9.19,8.17,15.45,100.00,0.00,0.00,0.00,99.49,0.42,0.03,0.03,0.02
408,51.02.07.2012,Payangan,Marga,Tabanan,Bali,93.81,1.76,1.03,3.39,92.32,2.51,1.18,3.99,92.90,2.10,1.20,3.81,91.62,2.68,1.41,4.29,100.00,0.00,0.00,0.00,99.51,0.38,0.04,0.04,0.03
409,51.03.05.2001,Pecatu,Kuta Selatan,Badung,Bali,92.21,2.45,1.81,3.53,91.55,2.51,1.86,4.08,91.65,2.53,1.83,3.99,90.80,2.72,1.98,4.51,86.53,8.93,1.90,2.64,99.47,0.44,0.03,0.04,0.02
410,51.05.01.2010,Ped,Nusa Penida,Klungkung,Bali,91.34,1.90,1.49,5.27,90.67,1.95,1.75,5.63,90.92,1.87,1.68,5.53,89.90,2.06,1.85,6.19,79.23,5.80,3.14,11.84,99.51,0.40,0.03,0.03,0.03
411,51.08.04.2008,Pedawa,Banjar,Buleleng,Bali,92.31,0.77,0.71,6.21,91.94,0.78,0.78,6.50,92.04,0.81,0.75,6.41,91.69,0.85,0.75,6.72,100.00,0.00,0.00,0.00,99.67,0.29,0.02,0.01,0.00
412,51.71.01.1002,Pedungan,Denpasar Selatan,Kota Denpasar,Bali,78.19,14.98,5.66,1.17,75.61,16.28,6.26,1.84,77.55,15.28,5.83,1.33,74.47,16.66,6.68,2.19,1.55,4.64,2.06,91.75,99.34,0.56,0.04,0.03,0.03
413,51.08.05.2007,Pegadungan,Sukasada,Buleleng,Bali,93.03,1.45,1.19,4.33,92.05,1.65,1.34,4.95,92.37,1.57,1.36,4.71,90.91,1.77,1.54,5.78,100.00,0.00,0.00,0.00,99.65,0.31,0.02,0.02,0.01
414,51.08.05.2005,Pegayaman,Sukasada,Buleleng,Bali,96.13,0.57,0.59,2.71,95.49,0.67,0.68,3.16,95.79,0.65,0.69,2.87,95.15,0.76,0.55,3.54,100.00,0.00,0.00,0.00,99.60,0.35,0.03,0.02,0.01
415,51.71.04.1009,Peguyangan,Denpasar Utara,Kota Denpasar,Bali,84.14,7.15,4.50,4.20,82.34,7.75,4.94,4.97,83.57,7.34,4.72,4.37,81.44,8.00,5.16,5.41,100.00,0.00,0.00,0.00,99.39,0.50,0.04,0.04,0.02
416,51.71.04.2010,Peguyangan Kaja,Denpasar Utara,Kota Denpasar,Bali,84.99,3.90,3.32,7.79,83.72,3.90,2.99,9.40,84.52,3.76,2.79,8.93,83.33,3.98,3.04,9.65,100.00,0.00,0.00,0.00,99.42,0.48,0.04,0.04,0.02
417,51.71.04.2011,Peguyangan Kangin,Denpasar Utara,Kota Denpasar,Bali,88.52,5.23,2.62,3.63,87.29,5.64,3.04,4.03,88.11,5.47,2.69,3.73,86.86,5.71,3.26,4.17,100.00,0.00,0.00,0.00,99.35,0.54,0.05,0.04,0.02
418,51.08.01.2002,Pejarakan,Gerokgak,Buleleng,Bali,84.57,9.77,3.32,2.34,82.95,10.35,3.77,2.93,83.86,10.03,3.55,2.57,81.98,10.51,4.23,3.29,89.81,9.81,0.38,0.00,99.61,0.30,0.03,0.03,0.02
419,51.02.06.2012,Pejaten,Kediri,Tabanan,Bali,87.16,3.54,2.65,6.65,85.62,3.58,2.98,7.82,86.51,3.35,2.93,7.21,84.41,3.72,3.21,8.66,100.00,0.00,0.00,0.00,99.51,0.42,0.03,0.03,0.01
420,51.04.04.2001,Pejeng,Tampaksiring,Gianyar,Bali,92.72,4.46,1.70,1.11,91.15,5.34,2.16,1.34,91.97,4.85,2.00,1.18,90.36,5.87,2.10,1.67,100.00,0.00,0.00,0.00,99.42,0.48,0.04,0.04,0.02
421,51.04.04.2006,Pejeng Kaja,Tampaksiring,Gianyar,Bali,92.71,2.71,1.50,3.08,91.99,3.12,1.58,3.31,92.26,3.03,1.52,3.18,91.39,3.36,1.71,3.55,100.00,0.00,0.00,0.00,99.42,0.48,0.03,0.03,0.03
422,51.04.04.2007,Pejeng Kangin,Tampaksiring,Gianyar,Bali,93.34,1.42,0.76,4.49,92.60,1.96,0.78,4.66,93.10,1.61,0.76,4.53,92.09,2.20,0.81,4.90,100.00,0.00,0.00,0.00,99.45,0.49,0.03,0.02,0.01
423,51.04.04.2005,Pejeng Kawan,Tampaksiring,Gianyar,Bali,94.93,1.81,0.55,2.71,94.03,2.36,0.67,2.95,94.46,2.12,0.59,2.83,93.63,2.56,0.59,3.22,100.00,0.00,0.00,0.00,99.39,0.49,0.05,0.04,0.02
424,51.04.04.2008,Pejeng Kelod,Tampaksiring,Gianyar,Bali,88.99,1.44,1.49,8.09,87.77,1.81,1.44,8.99,88.62,1.60,1.33,8.46,86.86,2.23,0.96,9.95,100.00,0.00,0.00,0.00,99.53,0.40,0.03,0.02,0.02
425,51.05.01.2014,Pejukutan,Nusa Penida,Klungkung,Bali,93.29,1.11,0.88,4.73,92.86,1.19,0.95,5.00,92.98,1.19,0.90,4.94,92.31,1.12,1.11,5.46,91.63,4.90,1.84,1.63,99.55,0.39,0.02,0.02,0.01
426,51.02.07.2003,Peken Belayu,Marga,Tabanan,Bali,83.74,4.14,4.22,7.90,82.02,4.30,4.07,9.62,83.27,3.83,4.14,8.76,80.53,4.53,4.22,10.71,100.00,0.00,0.00,0.00,99.52,0.42,0.03,0.02,0.01
427,51.01.03.2004,Pekutatan,Pekutatan,Jembrana,Bali,88.32,2.53,1.94,7.22,87.42,2.59,2.12,7.87,87.93,2.51,2.07,7.49,86.78,2.86,2.11,8.24,83.29,8.64,3.06,5.01,99.53,0.35,0.04,0.04,0.04
428,51.03.04.2004,Pelaga,Petang,Badung,Bali,91.99,0.70,0.71,6.59,91.55,0.70,0.76,6.99,91.69,0.74,0.77,6.80,91.19,0.68,0.78,7.35,100.00,0.00,0.00,0.00,99.60,0.35,0.02,0.02,0.01
429,51.08.03.2012,Pelapuan,Busungbiu,Buleleng,Bali,88.82,1.70,1.35,8.12,88.45,1.59,1.47,8.49,88.64,1.54,1.42,8.40,88.05,1.52,1.54,8.89,100.00,0.00,0.00,0.00,99.67,0.29,0.02,0.01,0.01
430,51.04.05.2006,Peliatan,Ubud,Gianyar,Bali,92.31,3.73,1.22,2.74,91.09,3.98,1.86,3.06,91.86,3.81,1.46,2.87,90.45,4.20,1.99,3.36,100.00,0.00,0.00,0.00,99.40,0.51,0.03,0.03,0.03
431,51.08.06.2004,Pemaron,Buleleng,Buleleng,Bali,79.49,13.28,5.08,2.15,77.51,12.02,7.06,3.41,77.87,12.92,6.34,2.87,75.84,12.20,7.66,4.31,78.95,21.05,0.00,0.00,99.45,0.49,0.03,0.02,0.01
432,51.71.03.1007,Pemecutan,Denpasar Barat,Kota Denpasar,Bali,70.93,21.22,6.71,1.14,64.03,24.57,9.37,2.03,69.09,21.98,7.73,1.20,61.30,25.46,10.96,2.28,0.00,0.00,0.00,100.00,99.28,0.61,0.05,0.04,0.02
433,51.71.04.2005,Pemecutan Kaja,Denpasar Utara,Kota Denpasar,Bali,84.81,7.85,4.31,3.03,82.72,8.45,5.09,3.74,84.38,7.66,4.79,3.17,81.51,9.15,5.20,4.14,17.24,37.93,11.49,33.33,99.43,0.49,0.04,0.03,0.01
434,51.71.03.2002,Pemecutan Kelod,Denpasar Barat,Kota Denpasar,Bali,60.54,19.41,13.35,6.71,54.99,18.85,14.01,12.16,59.17,18.86,13.74,8.23,53.06,18.70,14.37,13.88,0.00,0.00,0.00,100.00,99.30,0.62,0.03,0.03,0.01
435,51.71.01.2008,Pemogan,Denpasar Selatan,Kota Denpasar,Bali,66.57,17.51,9.58,6.35,62.82,18.41,10.00,8.77,65.20,17.92,9.72,7.17,61.22,18.72,10.51,9.55,0.00,0.00,0.00,100.00,99.24,0.64,0.05,0.04,0.03
436,51.07.01.2005,Pempatan,Rendang,Karangasem,Bali,91.83,1.22,1.06,5.89,91.09,1.28,1.16,6.48,91.52,1.26,1.11,6.11,90.69,1.24,1.18,6.89,100.00,0.00,0.00,0.00,99.56,0.37,0.03,0.02,0.01
437,51.08.01.2004,Pemuteran,Gerokgak,Buleleng,Bali,89.99,4.95,1.80,3.27,87.49,6.24,2.30,3.97,89.02,5.40,2.00,3.57,87.15,6.25,2.50,4.10,92.55,7.10,0.35,0.00,99.74,0.23,0.01,0.01,0.01
438,51.02.04.2003,Penarukan,Kerambitan,Tabanan,Bali,90.76,4.08,2.70,2.47,89.91,4.08,2.54,3.47,90.22,4.24,2.77,2.77,89.29,4.24,2.39,4.08,82.76,17.24,0.00,0.00,99.39,0.49,0.05,0.04,0.03
439,51.08.06.1020,Penarukan,Buleleng,Buleleng,Bali,84.71,9.98,3.68,1.63,82.22,11.04,4.52,2.22,83.28,10.68,4.14,1.89,79.76,11.08,6.12,3.04,99.06,0.94,0.00,0.00,99.45,0.49,0.03,0.02,0.01
440,51.03.02.2006,Penarungan,Mengwi,Badung,Bali,89.44,4.52,2.82,3.23,88.41,4.84,3.10,3.66,88.91,4.77,3.01,3.31,88.11,4.77,2.90,4.21,100.00,0.00,0.00,0.00,99.44,0.47,0.04,0.03,0.02
441,51.02.08.2007,Penatahan,Penebel,Tabanan,Bali,87.31,2.55,2.26,7.87,86.24,2.53,2.26,8.96,86.88,2.52,2.34,8.27,85.52,2.53,2.37,9.58,100.00,0.00,0.00,0.00,99.53,0.42,0.02,0.02,0.01
442,51.71.02.1014,Penatih,Denpasar Timur,Kota Denpasar,Bali,87.52,7.69,2.83,1.96,85.42,8.33,3.45,2.81,87.02,7.76,3.02,2.19,83.32,8.73,3.40,4.55,90.82,7.14,2.04,0.00,99.28,0.61,0.05,0.04,0.02
443,51.71.02.2015,Penatih Dangin Puri,Denpasar Timur,Kota Denpasar,Bali,81.99,9.49,3.45,5.08,79.64,10.46,4.25,5.66,81.52,9.57,3.70,5.21,79.01,10.40,4.66,5.93,53.49,23.26,11.63,11.63,99.56,0.37,0.02,0.02,0.03
444,51.01.05.1001,Pendem,Jembrana,Jembrana,Bali,89.65,2.36,1.78,6.21,88.37,2.60,2.07,6.96,89.10,2.47,1.91,6.53,87.76,2.54,2.22,7.48,100.00,0.00,0.00,0.00,99.68,0.30,0.01,0.01,0.01
445,51.02.08.2010,Penebel,Penebel,Tabanan,Bali,89.85,2.64,1.37,6.15,89.05,2.81,1.50,6.64,89.47,2.58,1.50,6.44,88.48,2.77,1.82,6.93,100.00,0.00,0.00,0.00,99.56,0.37,0.03,0.03,0.02
446,51.01.01.2011,Pengambengan,Negara,Jembrana,Bali,78.55,7.85,8.84,4.77,77.56,6.35,6.75,9.35,78.21,6.57,8.32,6.91,76.94,6.18,5.58,11.31,0.56,3.37,27.53,68.54,99.63,0.29,0.03,0.03,0.02
447,51.08.02.2016,Pengastulan,Seririt,Buleleng,Bali,83.74,4.60,6.46,5.19,76.10,8.23,6.66,9.01,81.98,5.29,5.58,7.15,76.49,8.62,5.58,9.30,100.00,0.00,0.00,0.00,99.44,0.47,0.04,0.03,0.02
448,51.06.04.2038,Pengejaran,Kintamani,Bangli,Bali,90.86,0.73,0.77,7.64,89.85,0.95,0.79,8.41,90.40,0.93,0.61,8.06,89.41,0.75,0.95,8.89,100.00,0.00,0.00,0.00,99.65,0.29,0.03,0.02,0.01
449,51.06.01.2009,Pengiangan,Susut,Bangli,Bali,90.07,0.76,0.81,8.35,89.61,0.76,0.69,8.93,89.96,0.69,0.65,8.70,89.01,0.97,0.79,9.23,100.00,0.00,0.00,0.00,99.69,0.28,0.02,0.01,0.00
450,51.08.06.2028,Penglatan,Buleleng,Buleleng,Bali,88.93,2.67,1.92,6.48,87.90,2.85,2.06,7.19,88.33,2.95,1.78,6.94,86.80,3.38,2.10,7.72,100.00,0.00,0.00,0.00,99.38,0.52,0.05,0.04,0.02
451,51.06.01.2006,Penglumbaran,Susut,Bangli,Bali,93.74,0.73,0.70,4.83,93.05,0.87,0.74,5.34,93.49,0.83,0.59,5.09,92.55,0.87,0.72,5.86,100.00,0.00,0.00,0.00,99.58,0.37,0.02,0.01,0.01
452,51.06.02.2008,Pengotan,Bangli,Bangli,Bali,91.76,1.05,0.91,6.28,91.29,1.11,0.89,6.70,91.60,1.02,0.93,6.44,90.90,1.22,1.00,6.88,100.00,0.00,0.00,0.00,99.63,0.34,0.02,0.01,0.01
453,51.01.03.2008,Pengragoan,Pekutatan,Jembrana,Bali,90.77,1.39,1.42,6.42,90.24,1.56,1.39,6.82,90.63,1.48,1.36,6.54,89.90,1.48,1.50,7.13,88.91,3.75,1.56,5.78,99.77,0.22,0.01,0.00,0.00
454,51.08.01.2011,Pengulon,Gerokgak,Buleleng,Bali,90.39,3.30,2.11,4.21,88.02,3.99,2.66,5.33,89.46,3.51,2.33,4.69,87.61,4.08,2.67,5.64,96.55,3.45,0.00,0.00,99.78,0.21,0.01,0.01,0.00
455,51.06.03.2006,Peninjoan,Tembuku,Bangli,Bali,93.86,1.09,0.76,4.29,93.20,1.26,0.79,4.75,93.67,1.14,0.81,4.39,92.78,1.43,0.78,5.02,100.00,0.00,0.00,0.00,99.53,0.41,0.03,0.02,0.01
456,51.08.09.2008,Penuktukan,Tejakula,Buleleng,Bali,96.36,1.25,0.65,1.75,95.01,1.52,1.08,2.39,96.04,1.22,0.89,1.85,95.25,1.49,1.06,2.19,96.30,3.70,0.00,0.00,99.52,0.41,0.03,0.02,0.01
457,51.08.01.2006,Penyabangan,Gerokgak,Buleleng,Bali,91.90,2.57,1.45,4.07,89.41,3.80,2.05,4.74,91.36,2.72,1.58,4.34,89.27,3.73,2.01,4.98,95.23,4.77,0.00,0.00,99.63,0.29,0.02,0.03,0.03
458,51.01.02.2007,Penyaringan,Mendoyo,Jembrana,Bali,85.34,4.23,2.32,8.11,84.15,4.42,2.41,9.02,84.73,4.28,2.37,8.62,83.24,4.46,2.60,9.70,88.43,4.29,2.68,4.60,99.71,0.23,0.02,0.02,0.02
459,51.01.05.2002,Perancak,Jembrana,Jembrana,Bali,72.62,9.80,9.51,8.07,70.15,8.12,8.36,13.38,71.45,8.45,9.66,10.44,68.97,6.63,8.05,16.34,0.00,0.00,18.27,81.73,99.41,0.50,0.04,0.03,0.02
460,51.02.09.2001,Perean,Baturiti,Tabanan,Bali,92.93,1.23,1.00,4.84,91.84,1.71,1.09,5.37,92.52,1.43,1.00,5.05,91.41,1.61,1.23,5.75,100.00,0.00,0.00,0.00,99.31,0.59,0.04,0.03,0.02
461,51.02.09.2012,Perean Kangin,Baturiti,Tabanan,Bali,91.74,1.63,1.55,5.08,90.73,1.85,1.55,5.87,91.32,1.61,1.61,5.46,89.87,2.02,1.57,6.54,100.00,0.00,0.00,0.00,99.44,0.47,0.04,0.03,0.02
462,51.02.09.2011,Perean Tengah,Baturiti,Tabanan,Bali,88.96,3.95,2.36,4.73,87.88,4.00,2.90,5.22,88.40,3.90,2.78,4.92,87.49,4.05,3.05,5.41,100.00,0.00,0.00,0.00,99.54,0.40,0.02,0.02,0.02
463,51.03.02.2018,Pererenan,Mengwi,Badung,Bali,84.96,7.52,4.18,3.34,81.15,8.40,5.26,5.19,82.70,7.86,5.09,4.35,79.53,8.57,5.94,5.97,0.00,0.00,0.00,100.00,99.48,0.42,0.03,0.03,0.03
464,51.01.02.2004,Pergung,Mendoyo,Jembrana,Bali,86.28,2.56,2.27,8.89,85.45,2.20,2.47,9.89,85.82,2.41,2.34,9.43,84.85,2.08,2.48,10.60,95.37,1.25,0.18,3.21,99.85,0.14,0.01,0.00,0.00
465,51.04.02.2002,Pering,Blahbatuh,Gianyar,Bali,86.67,7.46,3.43,2.44,83.61,8.72,4.46,3.21,85.29,8.06,3.94,2.71,81.95,9.59,4.83,3.63,73.10,13.45,2.92,10.53,99.44,0.47,0.04,0.03,0.02
466,51.07.07.2007,Peringsari,Selat,Karangasem,Bali,93.84,1.53,1.28,3.34,93.03,1.77,1.42,3.78,93.48,1.56,1.32,3.64,92.58,1.93,1.31,4.18,100.00,0.00,0.00,0.00,99.61,0.33,0.03,0.02,0.01
467,51.07.04.2009,Pertima,Karangasem,Karangasem,Bali,83.71,6.54,3.51,6.24,81.67,7.30,4.30,6.74,81.07,7.69,4.06,7.19,78.67,8.45,4.95,7.93,92.86,3.25,2.60,1.30,99.47,0.44,0.03,0.03,0.02
468,51.02.08.2017,Pesagi,Penebel,Tabanan,Bali,91.34,1.84,1.51,5.30,90.54,1.97,1.50,5.99,91.03,1.86,1.53,5.59,89.97,2.01,1.63,6.39,100.00,0.00,0.00,0.00,99.47,0.43,0.04,0.03,0.02
469,51.05.04.2008,Pesinggahan,Dawan,Klungkung,Bali,81.96,4.85,5.93,7.26,80.68,4.10,5.47,9.75,81.54,4.70,5.84,7.92,79.84,3.73,5.10,11.32,54.76,13.49,5.56,26.19,99.50,0.43,0.03,0.03,0.01
470,51.04.03.2012,Petak,Gianyar,Gianyar,Bali,93.29,3.25,1.69,1.77,92.24,3.49,1.99,2.28,92.94,3.38,1.64,2.04,91.73,3.33,2.31,2.63,100.00,0.00,0.00,0.00,99.41,0.49,0.05,0.04,0.02
471,51.04.03.2014,Petak Kaja,Gianyar,Gianyar,Bali,96.57,0.67,0.60,2.17,96.10,0.67,0.77,2.47,96.30,0.73,0.60,2.37,95.50,0.67,0.80,3.03,100.00,0.00,0.00,0.00,99.46,0.41,0.03,0.04,0.06
472,51.08.06.2015,Petandakan,Buleleng,Buleleng,Bali,90.60,1.09,1.19,7.12,90.13,1.09,1.30,7.48,90.23,1.09,1.35,7.32,89.56,1.04,1.14,8.26,100.00,0.00,0.00,0.00,99.44,0.48,0.03,0.03,0.02
473,51.03.04.2002,Petang,Petang,Badung,Bali,91.57,1.00,0.77,6.66,91.03,1.00,0.75,7.21,91.20,1.04,0.84,6.92,90.36,1.24,0.87,7.54,100.00,0.00,0.00,0.00,99.72,0.22,0.03,0.03,0.01
474,51.02.07.2009,Petiga,Marga,Tabanan,Bali,92.22,1.26,1.39,5.12,91.56,1.24,1.18,6.02,91.75,1.24,1.37,5.65,90.91,1.39,1.29,6.41,100.00,0.00,0.00,0.00,99.45,0.49,0.03,0.02,0.01
475,51.04.05.2007,Petulu,Ubud,Gianyar,Bali,93.41,1.88,0.93,3.79,92.28,2.53,1.18,4.01,93.10,2.01,0.90,3.99,91.68,2.71,1.33,4.29,100.00,0.00,0.00,0.00,99.50,0.38,0.05,0.05,0.03
476,51.07.05.2006,Pidpid,Abang,Karangasem,Bali,95.89,0.84,0.53,2.74,95.15,1.21,0.84,2.80,95.31,1.08,0.86,2.76,94.39,1.27,1.04,3.31,100.00,0.00,0.00,0.00,99.59,0.38,0.02,0.01,0.00
477,51.05.04.2010,Pikat,Dawan,Klungkung,Bali,80.79,3.45,4.99,10.77,79.40,3.52,4.77,12.31,80.04,3.61,4.84,11.52,79.00,3.39,4.76,12.85,80.00,13.10,1.38,5.52,99.65,0.32,0.01,0.01,0.00
478,51.06.04.2047,Pinggan,Kintamani,Bangli,Bali,94.52,0.74,0.57,4.16,94.00,0.81,0.58,4.61,94.30,0.78,0.56,4.36,93.62,0.88,0.61,4.88,100.00,0.00,0.00,0.00,99.59,0.36,0.03,0.02,0.01
479,51.02.08.2006,Pitra,Penebel,Tabanan,Bali,86.22,3.44,2.61,7.73,84.85,3.91,2.66,8.58,85.56,3.56,2.73,8.16,83.57,4.15,2.82,9.46,100.00,0.00,0.00,0.00,99.49,0.45,0.03,0.02,0.01
480,51.08.06.2017,Poh Bergong,Buleleng,Buleleng,Bali,91.57,2.27,1.30,4.86,90.63,2.45,1.44,5.48,90.99,2.38,1.33,5.30,89.27,2.85,1.33,6.56,100.00,0.00,0.00,0.00,99.44,0.47,0.04,0.03,0.02
481,51.01.02.2002,Pohsanten,Mendoyo,Jembrana,Bali,87.28,2.01,1.95,8.76,86.46,2.10,1.76,9.68,86.90,2.05,1.81,9.23,85.81,2.15,1.78,10.27,100.00,0.00,0.00,0.00,99.58,0.35,0.03,0.02,0.02
482,51.08.03.2004,Pucaksari,Busungbiu,Buleleng,Bali,89.06,1.74,1.66,7.55,88.64,1.73,1.63,8.00,88.83,1.72,1.66,7.79,88.31,1.77,1.55,8.37,100.00,0.00,0.00,0.00,99.61,0.33,0.03,0.02,0.01
483,51.04.07.2004,Puhu,Payangan,Gianyar,Bali,90.23,1.09,0.66,8.02,89.86,1.07,0.72,8.35,90.07,1.07,0.65,8.21,89.52,1.17,0.76,8.54,100.00,0.00,0.00,0.00,99.50,0.44,0.03,0.02,0.01
484,51.02.10.2006,Pujungan,Pupuan,Tabanan,Bali,92.25,1.10,0.85,5.80,91.88,1.10,0.93,6.10,92.06,1.09,0.90,5.96,91.38,1.14,0.96,6.53,100.00,0.00,0.00,0.00,99.77,0.22,0.01,0.01,0.00
485,51.01.03.2002,Pulukan,Pekutatan,Jembrana,Bali,88.73,1.20,1.12,8.95,88.31,1.08,1.25,9.37,88.50,1.09,1.23,9.18,88.01,1.04,1.29,9.67,98.02,0.99,0.14,0.85,99.49,0.43,0.03,0.03,0.02
486,51.03.03.2014,Punggul,Abiansemal,Badung,Bali,91.36,1.39,1.64,5.61,90.66,1.56,1.64,6.14,90.99,1.47,1.60,5.94,90.29,1.60,1.60,6.51,100.00,0.00,0.00,0.00,99.36,0.54,0.04,0.03,0.02
487,51.02.10.2007,Pupuan,Pupuan,Tabanan,Bali,89.09,1.45,0.97,8.49,88.38,1.43,1.29,8.90,88.85,1.34,1.10,8.71,87.61,1.60,1.40,9.39,100.00,0.00,0.00,0.00,99.77,0.21,0.01,0.01,0.00
488,51.04.06.2005,Pupuan,Tegallalang,Gianyar,Bali,91.88,0.81,0.61,6.69,91.58,0.72,0.75,6.95,91.75,0.73,0.67,6.85,91.39,0.73,0.70,7.19,100.00,0.00,0.00,0.00,99.57,0.37,0.03,0.02,0.01
489,51.02.01.2003,Pupuan Sawah,Selemadeg,Tabanan,Bali,88.76,1.82,1.41,8.02,88.03,2.07,1.54,8.36,88.37,1.98,1.36,8.29,87.41,2.18,1.79,8.61,100.00,0.00,0.00,0.00,99.59,0.32,0.03,0.03,0.03
490,51.07.05.2009,Purwa Kerthi,Abang,Karangasem,Bali,83.46,5.73,2.13,8.69,81.64,6.22,2.99,9.15,82.43,6.15,2.54,8.88,80.41,6.53,3.58,9.49,95.00,3.85,0.77,0.38,99.47,0.45,0.03,0.03,0.01
491,51.08.02.2004,Rangdu,Seririt,Buleleng,Bali,89.27,0.98,1.20,8.55,88.76,0.75,0.92,9.58,88.93,0.98,0.80,9.29,88.30,0.80,0.92,9.98,100.00,0.00,0.00,0.00,99.63,0.32,0.02,0.02,0.02
492,51.02.08.2001,Rejasa,Penebel,Tabanan,Bali,86.94,2.64,1.95,8.47,85.43,2.72,2.15,9.70,86.32,2.67,2.27,8.74,84.49,2.69,2.27,10.54,100.00,0.00,0.00,0.00,99.43,0.46,0.04,0.04,0.04
493,51.07.01.2002,Rendang,Rendang,Karangasem,Bali,85.83,1.99,1.92,10.26,84.77,2.10,1.77,11.36,85.42,1.99,1.84,10.75,84.13,2.12,1.83,11.92,100.00,0.00,0.00,0.00,99.52,0.42,0.03,0.02,0.01
494,51.71.01.1005,Renon,Denpasar Selatan,Kota Denpasar,Bali,80.54,15.97,3.12,0.37,77.85,16.88,4.75,0.52,79.80,16.17,3.66,0.37,76.91,17.42,5.06,0.60,0.00,0.00,0.00,100.00,99.20,0.65,0.06,0.05,0.03
495,51.02.08.2003,Riang Gede,Penebel,Tabanan,Bali,89.99,2.13,1.66,6.22,89.51,2.00,1.84,6.64,89.74,2.20,1.59,6.46,89.18,2.13,1.82,6.87,100.00,0.00,0.00,0.00,99.48,0.44,0.03,0.03,0.02
496,51.08.02.2003,Ringdikit,Seririt,Buleleng,Bali,85.19,1.64,1.08,12.10,84.58,1.30,1.47,12.66,84.80,1.34,1.47,12.39,83.97,1.42,1.27,13.34,100.00,0.00,0.00,0.00,99.59,0.36,0.02,0.02,0.01
497,51.04.02.2001,Saba,Blahbatuh,Gianyar,Bali,89.51,3.68,1.78,5.03,88.30,4.14,1.98,5.57,89.05,3.83,1.92,5.20,87.49,4.48,2.11,5.93,65.45,7.27,6.67,20.61,99.34,0.54,0.05,0.04,0.03
498,51.03.02.1015,Sading,Mengwi,Badung,Bali,85.66,4.42,2.39,7.53,81.36,6.60,3.46,8.57,83.78,5.73,2.75,7.74,79.78,6.84,4.00,9.38,100.00,0.00,0.00,0.00,99.47,0.45,0.03,0.03,0.02
499,51.02.10.2014,Sai,Pupuan,Tabanan,Bali,89.02,1.21,1.00,8.77,88.46,1.31,1.07,9.16,88.72,1.31,1.03,8.95,88.04,1.38,1.24,9.35,100.00,0.00,0.00,0.00,99.75,0.23,0.01,0.01,0.00
500,51.05.01.2001,Sakti,Nusa Penida,Klungkung,Bali,92.17,1.21,1.10,5.53,91.65,1.29,1.04,6.02,91.82,1.22,1.11,5.85,91.11,1.24,1.02,6.64,94.58,2.53,1.26,1.62,99.36,0.52,0.04,0.04,0.04
501,51.08.05.2010,Sambangan,Sukasada,Buleleng,Bali,89.72,1.11,1.30,7.87,88.13,1.49,1.34,9.03,88.57,1.48,1.35,8.60,82.31,2.26,1.84,13.60,100.00,0.00,0.00,0.00,99.63,0.33,0.02,0.02,0.01
502,51.08.09.2009,Sambirenteng,Tejakula,Buleleng,Bali,96.81,0.91,0.77,1.52,94.37,1.80,1.29,2.54,96.12,1.25,0.79,1.85,95.60,1.36,0.96,2.09,98.51,1.49,0.00,0.00,99.61,0.33,0.03,0.02,0.01
503,51.05.04.2003,Sampalan Kelod,Dawan,Klungkung,Bali,72.52,10.74,7.10,9.65,68.79,10.10,8.64,12.47,70.52,10.92,7.37,11.19,67.70,9.01,9.28,14.01,62.50,4.17,4.17,29.17,99.46,0.46,0.03,0.03,0.02
504,51.05.04.2002,Sampalan Tengah,Dawan,Klungkung,Bali,97.49,1.67,0.63,0.21,96.65,1.88,1.05,0.42,97.28,1.88,0.42,0.42,96.44,1.67,1.46,0.42,100.00,0.00,0.00,0.00,99.52,0.43,0.03,0.02,0.01
505,51.04.03.1003,Samplangan,Gianyar,Gianyar,Bali,90.66,2.08,1.31,5.95,89.83,2.28,1.53,6.37,90.39,2.11,1.45,6.05,89.35,2.47,1.55,6.63,100.00,0.00,0.00,0.00,99.50,0.43,0.03,0.02,0.01
506,51.02.04.2008,Samsam,Kerambitan,Tabanan,Bali,84.27,2.37,1.91,11.45,83.45,2.24,2.06,12.25,83.94,2.42,1.73,11.91,83.16,2.17,2.01,12.66,100.00,0.00,0.00,0.00,99.47,0.46,0.04,0.03,0.01
