Climate Change,Regency/City,Province,Exposure,Model,Threshold (PML 25y),AAL,PML 10y,TVaR 10y,PML 25y,TVaR 25y,PML 50y,TVaR 50y,PML 100y,TVaR 100y,PML 250y,TVaR 250y
0,Jembrana,Bali,Rice Field in 2028,Pareto,102.302607698481,4.2550914589873,98.8496527799423,102.742445897682,102.302607698481,106.377286474681,105.051135998637,109.232505115711,107.893648837393,112.113565791431,111.71610095562,116.10666807041
0,Klungkung,Bali,Rice Field in 2028,Lognormal,41.0239102893938,1.6468972355415,40.8498782851392,41.0249016047812,41.0239102893938,41.1724308885368,41.135321511846,41.2705490750405,41.235000799173,41.3607011946918,41.3550729522136,41.470142930805
0,Buleleng,Bali,Rice Field in 2028,Pareto,376.529728256776,15.3012439194411,371.2729391124,377.123817349255,376.529728256776,382.531097986027,380.639659904363,386.703592924936,384.823869665026,390.847922023915,390.34919258407,396.492357475336
0,Tabanan,Bali,Rice Field in 2028,Pareto,672.665026981834,27.1748212882144,666.741711330514,673.313245628515,672.665026981834,679.37053220536,677.274731037054,684.023213936428,681.948820021693,688.625758597219,688.09225905952,694.866136652231
0,Karangasem,Bali,Rice Field in 2028,Pareto,258.511460565076,10.4349786087604,256.421643972854,258.739123727173,258.511460565076,260.87446521901,260.136771060898,262.513599446437,261.783853475392,264.134151502925,263.947302437068,266.330004224175
0,Badung,Bali,Rice Field in 2028,Pareto,306.715414930421,12.4466522924947,302.808892665321,307.153561809492,306.715414930421,311.166307312368,309.766308070994,314.259340505116,312.869353870478,317.328526891944,316.962425293288,321.504182513606
0,Bangli,Bali,Rice Field in 2028,Lognormal,40.3588419568586,1.6206692567001,40.1739116547878,40.3599194719383,40.3588419568586,40.5167314175022,40.4772631164972,40.6210493235135,40.583236012252,40.7169158149424,40.7109166686278,40.8333175693842
1,Denpasar City,Bali,Rice Field in 2028,Pareto,91.2322126635227,3.7860737507559,88.3250533482668,91.5984152488378,91.2322126635227,94.6518437688966,93.5422997516562,97.0462497540239,95.9277701798797,99.4586618964162,99.1300088779819,102.79660792274
1,Gianyar,Bali,Rice Field in 2028,Pareto,383.304234723426,15.4404456031079,380.903188433898,383.562814397864,383.304234723426,386.011140077698,385.168567673953,387.887499557439,387.055192629326,389.739940746678,389.529214607391,392.246037898943
1,Jembrana,Bali,Rice Field in 2028,Pareto,106.976610924044,4.4537996905454,103.279834996944,107.44974752058,106.976610924044,111.344992263635,109.921388805745,114.407000584944,112.968828213869,117.498725798954,117.069917132614,121.786882795775
1,Klungkung,Bali,Rice Field in 2028,Pareto,40.9776899976482,1.6438657904082,40.8715476167137,40.9888568094135,40.9776899976482,41.096644760204,41.0598370456225,41.1789840326367,41.1427289707748,41.260040381042,41.2510703489243,41.3693498879394
1,Buleleng,Bali,Rice Field in 2028,Pareto,382.244839009932,15.4816645344899,378.023057520022,382.713377647134,382.244839009932,387.041613362248,385.536945096394,390.37280728002,388.880887418551,393.67391331052,393.284949814553,398.158469749247
1,Tabanan,Bali,Rice Field in 2028,Pareto,672.21605143297,27.0321663878954,669.025537327918,672.556359831175,672.21605143297,675.804159697385,674.690032768202,678.289884114936,677.190636691075,680.741006889411,680.465317763306,684.052674489759
1,Karangasem,Bali,Rice Field in 2028,Pareto,260.923250658521,10.5236221418882,259.004236489837,261.131347671935,260.923250658521,263.090553547205,262.414751792127,264.593510231041,263.925371790445,266.078578118642,265.908270476203,268.089573973574
1,Badung,Bali,Rice Field in 2028,Pareto,311.084058973362,12.617247755981,307.265711396998,311.511086200218,311.084058973362,315.431193899526,314.064853772877,318.451577969194,317.095503322495,321.447582853754,321.091403549818,325.522028857778
1,Bangli,Bali,Rice Field in 2028,Lognormal,40.7472964034948,1.6357697238313,40.5751050764237,40.7482761527622,40.7472964034948,40.8942430957811,40.8575277832575,40.9913210395263,40.9561504899461,41.0805165655764,41.074948677755,41.188795999625
