Regency/City,Province,Exposure,Climate Change,CV,AAL,Lognormal_Mean,Lognormal_Median,VaR_95%,TVaR_95%,VaR_99%,TVaR_99%,PML_25,PML_50,PML_100,PML_250,Prob_Any_Loss (%),μ,σ
Denpasar CIty,Bali,Educational Facilities,0,0.65,349290231.0,349290231.0,292860164.4,777556609.7,5961813634.0,1165287323.0,33476871346.0,827975435.3,991179461.1,1165287323.0,1413870947.0,3.9239,19.4952058,0.593646264
Denpasar CIty,Bali,Educational Facilities,0,0.75,349639724.7,349639724.7,279711779.7,839326366.5,5843651061.0,1323281572.0,33263730440.0,900815709.6,1102969081.0,1323281572.0,1644953847.0,3.9239,19.44927027,0.668047231
Denpasar CIty,Bali,Educational Facilities,0,0.85,349981891.6,349981891.6,266664963.8,896885452.0,5725096878.0,1482478030.0,33036979684.0,969684039.7,1212515632.0,1482478030.0,1884959535.0,3.9239,19.40150361,0.73741218
Denpasar CIty,Bali,Educational Facilities,0,0.95,350315459.4,350315459.4,253978509.6,949927986.9,5607506423.0,1640784259.0,32799749963.0,1034073853.0,1318580720.0,1640784259.0,2130584126.0,3.9239,19.35276021,0.801978061
Gianyar,Bali,Educational Facilities,0,0.15,964905824.1,964905824.1,954230446.5,1219580299.0,17998048929.0,1350078599.0,95068937034.0,1238986151.0,1296282059.0,1350078599.0,1417294219.0,3.9239,20.67641576,0.14916638
Gianyar,Bali,Educational Facilities,0,0.25,965849871.0,965849871.0,937012008.6,1404860196.0,17753063559.0,1661524855.0,94773348892.0,1441949373.0,1553664395.0,1661524855.0,1800267460.0,3.9239,20.65820666,0.246220677
Gianyar,Bali,Educational Facilities,0,0.35,966822355.7,966822355.7,912543359.6,1596206341.0,17480903973.0,2012335658.0,94410787375.0,1654677827.0,1834237971.0,2012335658.0,2247956468.0,3.9239,20.63174616,0.339938731
Gianyar,Bali,Educational Facilities,0,0.45,967810263.0,967810263.0,882566991.7,1788566991.0,17186362302.0,2396628448.0,93982233201.0,1871726842.0,2131877641.0,2396628448.0,2756425962.0,3.9239,20.59834526,0.429421382
Gianyar,Bali,Educational Facilities,0,0.55,968801933.1,968801933.1,848879666.2,1977355033.0,16875044009.0,2806975240.0,93492006927.0,2087917585.0,2439926411.0,2806975240.0,3318646119.0,3.9239,20.559428,0.51408705
Gianyar,Bali,Educational Facilities,0,0.65,969787731.4,969787731.4,813112332.6,2158848985.0,16552692307.0,3235364890.0,92946942798.0,2298834459.0,2751962683.0,3235364890.0,3925545511.0,3.9239,20.51637983,0.593646264
